日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-07-29,2020-07-30 21:45:52,JiuTian,久添,10000000,0,0,10001261.04,1.0001
2020-07-30,2020-07-30 21:45:40,JiuTian,久添,10001261.04,0,0,9966676.72,0.9967
2020-07-31,2020-07-31 15:25:02,JiuTian,久添,9966676.72,0,0,9969636.18,0.997
2020-08-03,2020-08-03 15:25:02,JiuTian,久添,9969636.18,0,0,9907069.76,0.9907
2020-08-04,2020-08-04 15:25:03,JiuTian,久添,9907069.76,0,0,9908751.38,0.9909
2020-08-05,2020-08-05 15:25:02,JiuTian,久添,9908751.38,0,0,9909469.12,0.9909
2020-08-06,2020-08-06 15:25:03,JiuTian,久添,9909469.12,0,0,9894695.09,0.9895
2020-08-07,2020-08-07 15:25:02,JiuTian,久添,9894695.09,0,0,9898347.86,0.9898
2020-08-10,2020-08-10 15:25:02,JiuTian,久添,9898347.86,0,0,9910066.73,0.991
2020-08-11,2020-08-11 15:25:03,JiuTian,久添,9910066.73,0,0,9909868.48,0.991
2020-08-12,2020-08-12 15:25:02,JiuTian,久添,9909868.48,0,0,9911371.31,0.9911
2020-08-13,2020-08-13 15:25:02,JiuTian,久添,9911371.31,0,0,9889830.59,0.989
2020-08-14,2020-08-14 15:25:02,JiuTian,久添,9889830.59,0,0,9911044.54,0.9911
2020-08-17,2020-08-17 15:25:02,JiuTian,久添,9911044.54,0,0,9892879.64,0.9893
2020-08-18,2020-08-18 15:25:02,JiuTian,久添,9892879.64,0,0,9882468.66,0.9882
2020-08-19,2020-08-19 15:25:02,JiuTian,久添,9882468.66,0,0,9884985.61,0.9885
2020-08-20,2020-08-20 15:25:02,JiuTian,久添,9884985.61,0,0,9891817.65,0.9892
2020-08-21,2020-08-21 15:25:02,JiuTian,久添,9891817.65,0,0,9880873.06,0.9881
2020-08-24,2020-08-24 15:25:02,JiuTian,久添,9891793.06,0,0,9850670.05,0.9851
2020-08-25,2020-08-25 15:25:02,JiuTian,久添,9843950.05,0,0,9827765.12,0.9828
2020-09-08,2020-09-08 15:25:02,JiuTian,久添,9827765.12,0,0,9823967.94,0.9824
2020-09-09,2020-09-09 15:25:02,JiuTian,久添,9823967.94,0,0,9842094.44,0.9842
2020-09-10,2020-09-10 15:25:02,JiuTian,久添,9842094.44,0,0,9847833.99,0.9848
2020-09-11,2020-09-11 15:25:03,JiuTian,久添,9847833.99,0,0,9849513.06,0.985
2020-09-14,2020-09-14 15:25:02,JiuTian,久添,9849513.06,0,0,9836732.62,0.9837
2020-09-15,2020-09-15 15:25:03,JiuTian,久添,9836732.62,0,0,9836083.21,0.9836
2020-09-16,2020-09-16 15:25:03,JiuTian,久添,9836083.21,0,0,9849922.57,0.985
2020-09-17,2020-09-17 15:25:02,JiuTian,久添,9849922.57,0,0,9854818.79,0.9855
2020-09-18,2020-09-18 15:25:02,JiuTian,久添,9854818.79,0,0,9860712.59,0.9861
2020-09-21,2020-09-21 15:25:03,JiuTian,久添,9860712.59,0,0,9869172.49,0.9869
2020-09-22,2020-09-22 15:25:02,JiuTian,久添,9869172.49,0,0,9886695.49,0.9887
2020-09-23,2020-09-23 15:25:03,JiuTian,久添,9886695.49,0,0,9895763.69,0.9896
2020-09-24,2020-09-24 15:25:03,JiuTian,久添,9895763.69,0,0,9897807.11,0.9898
2020-09-25,2020-09-25 15:25:02,JiuTian,久添,9897807.11,0,0,9884752.82,0.9885
2020-09-28,2020-09-28 15:25:03,JiuTian,久添,9884752.82,0,0,9897926.11,0.9898
2020-09-29,2020-09-29 15:25:03,JiuTian,久添,9897926.11,0,0,9892108.16,0.9892
2020-09-30,2020-10-08 15:25:08,JiuTian,久添,9892108.16,0,0,9895230.74,0.9895
2020-10-09,2020-10-09 15:25:02,JiuTian,久添,9895230.74,0,0,9892364.38,0.9892
2020-10-12,2020-10-12 15:25:03,JiuTian,久添,9898364.38,0,0,9886395.75,0.9886
2020-10-13,2020-10-13 15:25:02,JiuTian,久添,9886395.75,0,0,9876636.34,0.9877
2020-10-14,2020-10-14 15:25:03,JiuTian,久添,9876636.34,0,0,9855448.52,0.9855
2020-10-15,2020-10-15 15:25:03,JiuTian,久添,9855448.52,0,0,9863332.17,0.9863
2020-10-16,2020-10-16 15:25:03,JiuTian,久添,9863332.17,0,0,9886162.68,0.9886
2020-10-19,2020-10-19 15:25:02,JiuTian,久添,9886162.68,0,0,9880863.75,0.9881
2020-10-20,2020-10-20 15:25:02,JiuTian,久添,9880863.75,0,0,9886701.58,0.9887
2020-10-21,2020-10-21 15:25:03,JiuTian,久添,9886701.58,0,0,9890849.9,0.9891
2020-10-22,2020-10-22 15:25:02,JiuTian,久添,9890849.9,0,0,9895346.9,0.9895
2020-10-23,2020-10-23 15:25:03,JiuTian,久添,9895346.9,0,0,9886291.46,0.9886
2020-10-26,2020-10-26 15:25:03,JiuTian,久添,9886291.1,0,0,9896304.51,0.9896
