日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-07-29,2020-07-30 21:45:52,FanTai,凡太,10000000,0,0,10000143.42,1
2020-07-30,2020-07-30 21:45:40,FanTai,凡太,10000143.42,0,0,9971517.38,0.9972
2020-07-31,2020-07-31 15:25:02,FanTai,凡太,9971517.38,0,0,9973431.7,0.9973
2020-08-03,2020-08-03 15:25:02,FanTai,凡太,9973431.7,0,0,9921507.27,0.9922
2020-08-04,2020-08-04 15:25:03,FanTai,凡太,9921507.27,0,0,9921534.13,0.9922
2020-08-05,2020-08-05 15:25:02,FanTai,凡太,9922374.13,0,0,9927816.73,0.9928
2020-08-06,2020-08-06 15:25:03,FanTai,凡太,9927816.73,0,0,9915276.89,0.9915
2020-08-07,2020-08-07 15:25:02,FanTai,凡太,9915276.89,0,0,9918391.38,0.9918
2020-08-10,2020-08-10 15:25:02,FanTai,凡太,9918391.38,0,0,9927533.73,0.9928
2020-08-11,2020-08-11 15:25:03,FanTai,凡太,9927533.73,0,0,9927325.57,0.9927
2020-08-12,2020-08-12 15:25:02,FanTai,凡太,9927325.57,0,0,9929316.45,0.9929
2020-08-13,2020-08-13 15:25:02,FanTai,凡太,9929316.45,0,0,9911910.34,0.9912
2020-08-14,2020-08-14 15:25:02,FanTai,凡太,9911910.34,0,0,9928066.37,0.9928
2020-08-17,2020-08-17 15:25:02,FanTai,凡太,9928066.37,0,0,9912484.88,0.9912
2020-08-18,2020-08-18 15:25:02,FanTai,凡太,9912484.88,0,0,9903879.93,0.9904
2020-08-19,2020-08-19 15:25:02,FanTai,凡太,9903879.93,0,0,9906242.8,0.9906
2020-08-20,2020-08-20 15:25:02,FanTai,凡太,9906242.8,0,0,9912816.12,0.9913
2020-08-21,2020-08-21 15:25:02,FanTai,凡太,9912816.12,0,0,9904391.34,0.9904
2020-08-24,2020-08-24 15:25:02,FanTai,凡太,9913631.34,0,0,9874827.9,0.9875
2020-08-25,2020-08-25 15:25:02,FanTai,凡太,9874827.9,0,0,9855535.52,0.9856
2020-09-08,2020-09-08 15:25:02,FanTai,凡太,9855535.52,0,0,9851079.5,0.9851
2020-09-09,2020-09-09 15:25:02,FanTai,凡太,9851079.5,0,0,9862802.71,0.9863
2020-09-10,2020-09-10 15:25:02,FanTai,凡太,9862802.71,0,0,9866331.57,0.9866
2020-09-11,2020-09-11 15:25:03,FanTai,凡太,9866331.57,0,0,9866489.9,0.9866
