日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-07-29,2020-07-30 21:45:52,GuangJin,广进,10000000,0,0,10000231.45,1
2020-07-30,2020-07-30 21:45:40,GuangJin,广进,10000231.45,0,0,9948727.78,0.9949
2020-07-31,2020-07-31 15:25:02,GuangJin,广进,9948807.78,0,0,9951988.91,0.9952
2020-08-03,2020-08-03 15:25:02,GuangJin,广进,9951988.91,0,0,9859523.49,0.986
2020-08-04,2020-08-04 15:25:03,GuangJin,广进,9859523.49,0,0,9861349.14,0.9861
2020-08-05,2020-08-05 15:25:02,GuangJin,广进,9861049.14,0,0,9873748.16,0.9874
2020-08-06,2020-08-06 15:25:03,GuangJin,广进,9873748.16,0,0,9852175.97,0.9852
2020-08-07,2020-08-07 15:25:02,GuangJin,广进,9852175.97,0,0,9858134.61,0.9858
2020-08-10,2020-08-10 15:25:02,GuangJin,广进,9858134.61,0,0,9873536.52,0.9874
2020-08-11,2020-08-11 15:25:03,GuangJin,广进,9873536.52,0,0,9869389.92,0.9869
2020-08-12,2020-08-12 15:25:02,GuangJin,广进,9869549.92,0,0,9872215.27,0.9872
2020-08-13,2020-08-13 15:25:02,GuangJin,广进,9872215.27,0,0,9842805.17,0.9843
2020-08-14,2020-08-14 15:25:02,GuangJin,广进,9842805.17,0,0,9874343.11,0.9874
2020-08-17,2020-08-17 15:25:02,GuangJin,广进,9874343.11,0,0,9845089.16,0.9845
2020-08-18,2020-08-18 15:25:02,GuangJin,广进,9845089.16,0,0,9830873.17,0.9831
2020-08-19,2020-08-19 15:25:02,GuangJin,广进,9830873.17,0,0,9835933.08,0.9836
2020-08-20,2020-08-20 15:25:02,GuangJin,广进,9835933.08,0,0,9847152.54,0.9847
2020-08-21,2020-08-21 15:25:02,GuangJin,广进,9847152.54,0,0,9831027.3,0.9831
2020-08-24,2020-08-24 15:25:02,GuangJin,广进,9846987.3,0,0,9785958.18,0.9786
2020-08-25,2020-08-25 15:25:02,GuangJin,广进,9785958.18,0,0,9752844.27,0.9753
2020-09-08,2020-09-08 15:25:02,GuangJin,广进,9752844.27,0,0,9748549.3,0.9749
2020-09-09,2020-09-09 15:25:02,GuangJin,广进,9748549.3,0,0,9766874.32,0.9767
2020-09-10,2020-09-10 15:25:02,GuangJin,广进,9766874.32,0,0,9772594.93,0.9773
2020-09-11,2020-09-11 15:25:03,GuangJin,广进,9772594.93,0,0,9774307.03,0.9774
2020-09-14,2020-09-14 15:25:02,GuangJin,广进,9774307.03,0,0,9761676.78,0.9762
2020-09-15,2020-09-15 15:25:03,GuangJin,广进,9761676.78,0,0,9761101.51,0.9761
2020-09-16,2020-09-16 15:25:03,GuangJin,广进,9761101.51,0,0,9774985.34,0.9775
2020-09-17,2020-09-17 15:25:02,GuangJin,广进,9774985.34,0,0,9779870.39,0.978
2020-09-18,2020-09-18 15:25:02,GuangJin,广进,9779870.39,0,0,9785827.41,0.9786
2020-09-21,2020-09-21 15:25:03,GuangJin,广进,9785827.41,0,0,9794770.01,0.9795
2020-09-22,2020-09-22 15:25:02,GuangJin,广进,9794330.01,0,0,9809948.98,0.981
2020-09-23,2020-09-23 15:25:03,GuangJin,广进,9809948.98,0,0,9819112.35,0.9819
2020-09-24,2020-09-24 15:25:03,GuangJin,广进,9819112.35,0,0,9821194.06,0.9821
2020-09-25,2020-09-25 15:25:02,GuangJin,广进,9821194.06,0,0,9808067.41,0.9808
2020-09-28,2020-09-28 15:25:03,GuangJin,广进,9808067.41,0,0,9821301.86,0.9821
2020-09-29,2020-09-29 15:25:03,GuangJin,广进,9821301.86,0,0,9815814.39,0.9816
2020-09-30,2020-10-08 15:25:08,GuangJin,广进,9815814.39,0,0,9819102.59,0.9819
2020-10-09,2020-10-09 15:25:02,GuangJin,广进,9819102.59,0,0,9815592.08,0.9816
2020-10-12,2020-10-12 15:25:03,GuangJin,广进,9821592.08,0,0,9809422.89,0.9809
2020-10-13,2020-10-13 15:25:02,GuangJin,广进,9809422.89,0,0,9799883.34,0.98
2020-10-14,2020-10-14 15:25:03,GuangJin,广进,9799883.34,0,0,9778972.14,0.9779
